;Scopy version,f4beeb1
;Exported on,vendredi octobre 11/10/2024
;Device,M2K
;Nr of samples,114688
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
589,-0.7603,0.0579617
590,-0.7602,0.0579617
591,-0.7601,0.0579617
592,-0.76,0.0579617
593,-0.7599,0.0579617
594,-0.7598,0.0579617
595,-0.7597,0.0579617
596,-0.7596,0.0579617
597,-0.7595,0.0579617
598,-0.7594,0.0579617
599,-0.7593,0.0579617
600,-0.7592,0.0579617
601,-0.7591,0.0579617
602,-0.759,0.0579617
603,-0.7589,0.0579617
604,-0.7588,0.0579617
605,-0.7587,0.0579617
606,-0.7586,0.0579617
607,-0.7585,0.0579617
608,-0.7584,0.0579617
609,-0.7583,0.0579617
610,-0.7582,0.0579617
611,-0.7581,0.0579617
612,-0.758,0.0579617
613,-0.7579,0.0579617
614,-0.7578,0.0579617
615,-0.7577,0.0579617
616,-0.7576,0.0579617
617,-0.7575,0.0579617
618,-0.7574,0.0579617
619,-0.7573,0.0579617
620,-0.7572,0.0579617
621,-0.7571,0.0579617
622,-0.757,0.0579617
623,-0.7569,0.0579617
624,-0.7568,0.0579617
625,-0.7567,0.0579617
626,-0.7566,0.0579617
627,-0.7565,0.0579617
628,-0.7564,0.0579617
629,-0.7563,0.0579617
630,-0.7562,0.0579617
631,-0.7561,0.0579617
632,-0.756,0.0579617
633,-0.7559,0.0579617
634,-0.7558,0.0579617
635,-0.7557,0.0579617
636,-0.7556,0.0579617
637,-0.7555,0.0579617
638,-0.7554,0.0579617
639,-0.7553,0.0579617
640,-0.7552,0.0579617
641,-0.7551,0.0579617
642,-0.755,0.0579617
643,-0.7549,0.0579617
644,-0.7548,0.0579617
645,-0.7547,0.0579617
646,-0.7546,0.0579617
647,-0.7545,0.0579617
648,-0.7544,0.0579617
649,-0.7543,0.0579617
650,-0.7542,0.0579617
651,-0.7541,0.0579617
652,-0.754,0.0579617
653,-0.7539,0.0579617
654,-0.7538,0.0579617
655,-0.7537,0.0579617
656,-0.7536,0.0579617
657,-0.7535,0.0579617
658,-0.7534,0.0579617
659,-0.7533,0.0579617
660,-0.7532,0.0579617
661,-0.7531,0.0579617
662,-0.753,0.0579617
663,-0.7529,0.0579617
664,-0.7528,0.0579617
665,-0.7527,0.0579617
666,-0.7526,0.0579617
667,-0.7525,0.0579617
668,-0.7524,0.0579617
669,-0.7523,0.0579617
670,-0.7522,0.0579617
671,-0.7521,0.0579617
672,-0.752,0.0579617
673,-0.7519,0.0579617
674,-0.7518,0.0579617
675,-0.7517,0.0579617
676,-0.7516,0.0579617
677,-0.7515,0.0579617
678,-0.7514,0.0579617
679,-0.7513,0.0579617
680,-0.7512,0.0579617
681,-0.7511,0.0579617
682,-0.751,0.0579617
683,-0.7509,0.0579617
684,-0.7508,0.0579617
685,-0.7507,0.0579617
686,-0.7506,0.0579617
687,-0.7505,0.0579617
688,-0.7504,0.0579617
689,-0.7503,0.0579617
690,-0.7502,0.0579617
691,-0.7501,0.0579617
692,-0.75,0.0579617
693,-0.7499,0.0579617
694,-0.7498,0.0579617
695,-0.7497,0.0579617
696,-0.7496,0.0579617
697,-0.7495,0.0579617
698,-0.7494,0.0579617
699,-0.7493,0.0579617
700,-0.7492,0.0579617
701,-0.7491,0.0579617
702,-0.749,0.0579617
703,-0.7489,0.0579617
704,-0.7488,0.0579617
705,-0.7487,0.0579617
706,-0.7486,0.0579617
707,-0.7485,0.0579617
708,-0.7484,0.0579617
709,-0.7483,0.0579617
710,-0.7482,0.0579617
711,-0.7481,0.0579617
712,-0.748,0.0579617
713,-0.7479,0.0579617
714,-0.7478,0.0579617
715,-0.7477,0.0579617
716,-0.7476,0.0579617
717,-0.7475,0.0579617
718,-0.7474,0.0579617
719,-0.7473,0.0579617
720,-0.7472,0.0579617
721,-0.7471,0.0579617
722,-0.747,0.0579617
723,-0.7469,0.0579617
724,-0.7468,0.0579617
725,-0.7467,0.0579617
726,-0.7466,0.0579617
727,-0.7465,0.0579617
728,-0.7464,0.0579617
729,-0.7463,0.0579617
730,-0.7462,0.0579617
731,-0.7461,0.0579617
732,-0.746,0.0579617
733,-0.7459,0.0579617
734,-0.7458,0.0579617
735,-0.7457,0.0579617
736,-0.7456,0.0579617
737,-0.7455,0.0579617
738,-0.7454,0.0579617
739,-0.7453,0.0579617
740,-0.7452,0.0579617
741,-0.7451,0.0579617
742,-0.745,0.0579617
743,-0.7449,0.0579617
744,-0.7448,0.0579617
745,-0.7447,0.0579617
746,-0.7446,0.0579617
747,-0.7445,0.0579617
748,-0.7444,0.0579617
749,-0.7443,0.0579617
750,-0.7442,0.0579617
751,-0.7441,0.0579617
752,-0.744,0.0579617
753,-0.7439,0.0579617
754,-0.7438,0.0579617
755,-0.7437,0.0579617
756,-0.7436,0.0579617
757,-0.7435,0.0579617
758,-0.7434,0.0579617
759,-0.7433,0.0579617
760,-0.7432,0.0579617
761,-0.7431,0.0579617
762,-0.743,0.0579617
763,-0.7429,0.0579617
764,-0.7428,0.0579617
765,-0.7427,0.0579617
766,-0.7426,0.0579617
767,-0.7425,0.0579617
768,-0.7424,0.0579617
769,-0.7423,0.0579617
770,-0.7422,0.0579617
771,-0.7421,0.0579617
772,-0.742,0.0579617
773,-0.7419,0.0579617
774,-0.7418,0.0579617
775,-0.7417,0.0579617
776,-0.7416,0.0579617
777,-0.7415,0.0579617
778,-0.7414,0.0579617
779,-0.7413,0.0579617
780,-0.7412,0.0579617
781,-0.7411,0.0579617
782,-0.741,0.0579617
783,-0.7409,0.0579617
784,-0.7408,0.0579617
785,-0.7407,0.0579617
786,-0.7406,0.0579617
787,-0.7405,0.0579617
788,-0.7404,0.0579617
789,-0.7403,0.0579617
790,-0.7402,0.0579617
791,-0.7401,0.0579617
792,-0.74,0.0579617
793,-0.7399,0.0579617
794,-0.7398,0.0579617
795,-0.7397,0.0579617
796,-0.7396,0.0579617
797,-0.7395,0.0579617
798,-0.7394,0.0579617
799,-0.7393,0.0579617
800,-0.7392,0.0579617
801,-0.7391,0.0579617
802,-0.739,0.0579617
803,-0.7389,0.0579617
804,-0.7388,0.0579617
805,-0.7387,0.0579617
806,-0.7386,0.0579617
807,-0.7385,0.0579617
808,-0.7384,0.0579617
809,-0.7383,0.0579617
810,-0.7382,0.0579617
811,-0.7381,0.0579617
812,-0.738,0.0579617
813,-0.7379,0.0579617
814,-0.7378,0.0579617
815,-0.7377,0.0579617
816,-0.7376,0.0579617
817,-0.7375,0.0579617
818,-0.7374,0.0579617
819,-0.7373,0.0579617
820,-0.7372,0.0579617
821,-0.7371,0.0579617
822,-0.737,0.0579617
823,-0.7369,0.0579617
824,-0.7368,0.0579617
825,-0.7367,0.0579617
826,-0.7366,0.0579617
827,-0.7365,0.0579617
828,-0.7364,0.0579617
829,-0.7363,0.0579617
830,-0.7362,0.0579617
831,-0.7361,0.0579617
832,-0.736,0.0579617
833,-0.7359,0.0579617
834,-0.7358,0.0579617
835,-0.7357,0.0579617
836,-0.7356,0.0579617
837,-0.7355,0.0579617
838,-0.7354,0.0579617
839,-0.7353,0.0579617
840,-0.7352,0.0579617
841,-0.7351,0.0579617
842,-0.735,0.0579617
843,-0.7349,0.0579617
844,-0.7348,0.0579617
845,-0.7347,0.0579617
846,-0.7346,0.0579617
847,-0.7345,0.0579617
848,-0.7344,0.0579617
849,-0.7343,0.0579617
850,-0.7342,0.0579617
851,-0.7341,0.0579617
852,-0.734,0.0579617
853,-0.7339,0.0579617
854,-0.7338,0.0579617
855,-0.7337,0.0579617
856,-0.7336,0.0579617
857,-0.7335,0.0579617
858,-0.7334,0.0579617
859,-0.7333,0.0579617
860,-0.7332,0.0579617
861,-0.7331,0.0579617
862,-0.733,0.0579617
863,-0.7329,0.0579617
864,-0.7328,0.0579617
865,-0.7327,0.0579617
866,-0.7326,0.0579617
867,-0.7325,0.0579617
868,-0.7324,0.0579617
869,-0.7323,0.0579617
870,-0.7322,0.0579617
871,-0.7321,0.0579617
872,-0.732,0.0579617
873,-0.7319,0.0579617
874,-0.7318,0.0579617
875,-0.7317,0.0579617
876,-0.7316,0.0579617
877,-0.7315,0.0579617
878,-0.7314,0.0579617
879,-0.7313,0.0579617
880,-0.7312,0.0579617
881,-0.7311,0.0579617
882,-0.731,0.0579617
883,-0.7309,0.0579617
884,-0.7308,0.0579617
885,-0.7307,0.0579617
886,-0.7306,0.0579617
887,-0.7305,0.0579617
888,-0.7304,0.0579617
889,-0.7303,0.0579617
890,-0.7302,0.0579617
891,-0.7301,0.0579617
892,-0.73,0.0579617
893,-0.7299,0.0579617
894,-0.7298,0.0579617
895,-0.7297,0.0579617
896,-0.7296,0.0579617
897,-0.7295,0.0579617
898,-0.7294,0.0579617
899,-0.7293,0.0579617
900,-0.7292,0.0579617
901,-0.7291,0.0579617
902,-0.729,0.0579617
903,-0.7289,0.0579617
904,-0.7288,0.0579617
905,-0.7287,0.0579617
906,-0.7286,0.0579617
907,-0.7285,0.0579617
908,-0.7284,0.0579617
909,-0.7283,0.0579617
910,-0.7282,0.0579617
911,-0.7281,0.0579617
912,-0.728,0.0579617
913,-0.7279,0.0579617
914,-0.7278,0.0579617
915,-0.7277,0.0579617
916,-0.7276,0.0579617
917,-0.7275,0.0579617
918,-0.7274,0.0579617
919,-0.7273,0.0579617
920,-0.7272,0.0579617
921,-0.7271,0.0579617
922,-0.727,0.0579617
923,-0.7269,0.0579617
924,-0.7268,0.0579617
925,-0.7267,0.0579617
926,-0.7266,0.0579617
927,-0.7265,0.0579617
928,-0.7264,0.0579617
929,-0.7263,0.0579617
930,-0.7262,0.0579617
931,-0.7261,0.0579617
932,-0.726,0.0579617
933,-0.7259,0.0579617
934,-0.7258,0.0579617
935,-0.7257,0.0579617
936,-0.7256,0.0579617
937,-0.7255,0.0579617
938,-0.7254,0.0579617
939,-0.7253,0.0579617
940,-0.7252,0.0579617
941,-0.7251,0.0579617
942,-0.725,0.0579617
943,-0.7249,0.0579617
944,-0.7248,0.0579617
945,-0.7247,0.0579617
946,-0.7246,0.0579617
947,-0.7245,0.0579617
948,-0.7244,0.0579617
949,-0.7243,0.0579617
950,-0.7242,0.0579617
951,-0.7241,0.0579617
952,-0.724,0.0579617
953,-0.7239,0.0579617
954,-0.7238,0.0579617
955,-0.7237,0.0579617
956,-0.7236,0.0579617
957,-0.7235,0.0579617
958,-0.7234,0.0579617
959,-0.7233,0.0579617
960,-0.7232,0.0579617
961,-0.7231,0.0579617
962,-0.723,0.0579617
963,-0.7229,0.0579617
964,-0.7228,0.0579617
965,-0.7227,0.0579617
966,-0.7226,0.0579617
967,-0.7225,0.0579617
968,-0.7224,0.0579617
969,-0.7223,0.0579617
970,-0.7222,0.0579617
971,-0.7221,0.0579617
972,-0.722,0.0579617
973,-0.7219,0.0579617
974,-0.7218,0.0579617
975,-0.7217,0.0579617
976,-0.7216,0.0579617
977,-0.7215,0.0579617
978,-0.7214,0.0579617
979,-0.7213,0.0579617
980,-0.7212,0.0579617
981,-0.7211,0.0579617
982,-0.721,0.0579617
983,-0.7209,0.0579617
984,-0.7208,0.0579617
